[3, 'equal', 'equal']
[5, [0, 1.7557865135399169], [0, 1.7557865135399169]]
[6, [1, 50.0], 'equal']
[2, 'equal', 'equal']
[1, [1, 100.0], 'equal']
[5, 'equal', 'equal']
[4, 'equal', 'equal']
[4, 'equal', 'equal']
[2, 'equal', 'equal']
[6, [1, 120.0], 'equal']
[5, [0, 5.371075034998722], 'equal']
[6, [1, 266.6666666666667], 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[5, 'equal', 'equal']
[3, 'equal', 'equal']
[3, 'equal', 'equal']
[3, 'equal', 'equal']
[4, 'equal', 'equal']
[6, [1, 66.66666666666667], 'equal']
[2, 'equal', 'equal']
[1, [1, 614.2857142857143], 'equal']
[6, 'equal', 'equal']
[6, [1, 116.66666666666667], 'equal']
[2, 'equal', 'equal']
[5, [0, 4.027831895727274], 'equal']
[1, [1, 312.5], 'equal']
[4, [1, 120.0], 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[5, [0, 15.207866150402696], [0, 15.207866150402696]]
[1, [1, 566.6666666666666], 'equal']
[4, [1, 150.0], 'equal']
[4, [1, 266.6666666666667], 'equal']
[1, [1, 200.0], 'equal']
[4, [1, 266.6666666666667], 'equal']
[4, [1, 133.33333333333334], 'equal']
[2, 'equal', 'equal']
[1, [1, 51.515151515151516], 'equal']
[3, 'equal', 'equal']
[3, 'equal', 'equal']
[4, [1, 120.0], 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[3, 'equal', 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[4, [1, 150.0], 'equal']
[5, 'equal', 'equal']
[5, [0, 4.480614038015201], 'equal']
[6, 'equal', 'equal']
[3, 'equal', 'equal']
[1, 'equal', 'equal']
[6, 'equal', 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[6, [1, 75.0], 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[5, 'equal', 'equal']
[3, [0, 1.248048891115869], 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[4, [1, 77.77777777777777], 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[3, 'equal', 'equal']
[4, [1, 45.45454545454545], 'equal']
[5, 'equal', 'equal']
[1, [1, 266.6666666666667], 'equal']
[6, 'equal', 'equal']
[1, [1, 230.0], 'equal']
[1, [1, 100.0], 'equal']
[1, [1, 312.5], 'equal']
[3, 'equal', 'equal']
[4, [1, 100.0], 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[3, 'equal', 'equal']
[6, [1, 75.0], 'equal']
[3, 'equal', 'equal']
[6, [1, 120.0], 'equal']
[2, 'equal', 'equal']
[4, [1, 125.0], 'equal']
[2, 'equal', 'equal']
