[4, [1, 133.33333333333334], 'equal']
[1, [1, 133.33333333333334], 'equal']
[1, 'equal', 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[6, [1, 133.33333333333334], 'equal']
[4, [1, 42.857142857142854], 'equal']
[1, [1, 100.0], 'equal']
[6, [1, 180.0], 'equal']
[5, 'equal', 'equal']
[6, 'equal', 'equal']
[4, 'equal', 'equal']
[5, 'equal', 'equal']
[6, [1, 133.33333333333334], 'equal']
[6, [1, 116.66666666666667], 'equal']
[5, 'equal', 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[3, [0, 5.6908193949103385], 'equal']
[3, 'equal', 'equal']
[4, [1, 133.33333333333334], 'equal']
[2, 'equal', 'equal']
[4, [1, 83.33333333333333], 'equal']
[4, [1, 250.0], 'equal']
[2, 'equal', 'equal']
[6, [1, 180.0], 'equal']
[6, [1, 250.0], 'equal']
[3, 'equal', 'equal']
[2, 'equal', 'equal']
[4, [1, 83.33333333333333], 'equal']
[6, 'equal', 'equal']
[3, 'equal', 'equal']
[3, 'equal', 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[6, 'equal', 'equal']
[5, 'equal', 'equal']
[5, 'equal', 'equal']
[4, [1, 133.33333333333334], 'equal']
[4, [1, 133.33333333333334], 'equal']
[1, [1, 133.33333333333334], 'equal']
[6, [1, 133.33333333333334], 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[5, 'equal', 'equal']
[4, 'equal', 'equal']
[6, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[4, [1, 133.33333333333334], 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[6, [1, 133.33333333333334], 'equal']
[3, 'equal', 'equal']
[2, 'equal', 'equal']
[6, [1, 100.0], 'equal']
[6, [1, 66.66666666666667], 'equal']
[5, 'equal', 'equal']
[5, [0, 0.3155668687888553], [0, 0.06860820815095338]]
[3, [0, 1.3493597143402747], 'equal']
